"BehaviorSpace results (NetLogo 5.0.4)"
"forage_taskv9_model.nlogo"
"experiment"
"03/12/2014 21:03:51:098 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","e-per-tick","example-ticks","max-seed-val","on-for","wither-rate","error-std","const-energ-dec","mem-long","mem-short","view-radius","hed-eud","die-chance","collect-rate","min-rep-energy","seed-rate","num-groups","for-death-rate","group-radius","num-foragers","start-energy","[step]","count patches with [seed?]","count foragers","dead","mean [energy] of foragers","count foragers with [taskn = 1] / count foragers","count foragers with [taskn = 2] / count foragers","count foragers with [taskn = 3] / count foragers","count foragers with [taskn = 4] / count foragers","count foragers with [taskn = 5] / count foragers","item 0 mean-ratio foragers","item 1 mean-ratio foragers","item 2 mean-ratio foragers","item 3 mean-ratio foragers","item 4 mean-ratio foragers","item 0 mean-hedeud foragers","item 1 mean-hedeud foragers","mean [age] of foragers"
"3","0.1","1500","5","true","0.05","0.1","0.1","200","25","3","false","0.01","0.02","25","250","4","500","9","50","5","2164","35","336","1713","71.17852172076799","0.3630952380952381","0.14285714285714285","0.03571428571428571","0.23511904761904762","0.22321428571428573","0.5043071724749372","0.72850169518098","0.7301187227069302","0.8544611461576624","1","-0.05231441262511917","25.50942967196704","324.9672619047619"
"2","0.1","1500","5","true","0.05","0.1","0.1","200","25","3","false","0.01","0.02","25","250","4","500","9","50","5","2148","45","382","1648","49.6498685611605","0.39267015706806285","0.15968586387434555","0.049738219895287955","0.2198952879581152","0.17801047120418848","0.5415199295696427","0.5637633690509597","0.563975170105993","0.6790447954164859","1","-0.49620277641195865","12.511268231239757","324.1806282722513"
"4","0.1","1500","5","true","0.05","0.1","0.1","200","25","3","false","0.01","0.02","25","250","4","500","9","50","5","2541","1","108","1944","94.8865646460736","0.46296296296296297","0.21296296296296297","0.009259259259259259","0.2222222222222222","0.09259259259259259","0.5963294307632254","0.6665163316359064","0.6682632691729081","0.8604800316676717","1","-0.007945533360752375","80.36390743807452","617.4537037037037"
"6","0.1","1500","5","true","0.05","0.1","0.1","200","25","3","false","0.01","0.02","25","250","4","500","9","50","5","1701","82","416","795","77.84002827511124","0.3389423076923077","0.11057692307692307","0.0625","0.27163461538461536","0.21634615384615385","0.6390954049241662","0.6716097934368783","0.7172799722921502","0.841316035285589","1","0.032171257845335685","15.450190637663486","247.6778846153846"
"1","0.1","1500","5","true","0.05","0.1","0.1","200","25","3","false","0.01","0.02","25","250","4","500","9","50","5","3000","3","163","2171","102.7671336095977","0.4294478527607362","0.15337423312883436","0.006134969325153374","0.26380368098159507","0.147239263803681","0.7106256066356595","0.7248856376956551","0.7248899515965292","0.8234377653897192","1","0.12617323240167877","15.933462471762438","310.7914110429448"
"5","0.1","1500","5","true","0.05","0.1","0.1","200","25","3","false","0.01","0.02","25","250","4","500","9","50","5","1842","18","455","1001","56.99041158660892","0.2813186813186813","0.16043956043956045","0.08571428571428572","0.2681318681318681","0.2043956043956044","0.34711612629582295","0.5147112308150615","0.5972353143067726","0.7992637356908026","1","-0.04836939968451106","89.27453230496467","296.2637362637363"
"7","0.1","1500","5","true","0.05","0.1","0.1","200","25","3","false","0.01","0.02","25","250","4","500","9","50","5","1770","40","528","1082","47.760036418651026","0.2746212121212121","0.14962121212121213","0.054924242424242424","0.3484848484848485","0.17234848484848486","0.5118245665659066","0.5230340594654204","0.566891150704654","0.7833943398035841","1","-0.09254341065384768","58.429552107779514","237.46969696969697"
"10","0.1","1500","5","true","0.05","0.1","0.1","200","25","3","false","0.01","0.02","25","250","4","500","9","50","5","1546","16","411","1186","52.13106292772781","0.35523114355231145","0.1411192214111922","0.07542579075425791","0.25790754257907544","0.170316301703163","0.3581263603781403","0.5678474051509543","0.5879433229027109","0.9185497585905538","1","1.1100807218996211","9.465364927060266","312.9464720194647"
"8","0.1","1500","5","true","0.05","0.1","0.1","200","25","3","false","0.01","0.02","25","250","4","500","9","50","5","3000","3","99","2113","117.0836251003631","0.45454545454545453","0.23232323232323232","0.020202020202020204","0.18181818181818182","0.1111111111111111","0.7233611227368401","0.8006497842387158","0.8260301749444618","0.922235752493533","1","0.011671261902356157","49.260287769295054","411.34343434343435"
"9","0.1","1500","5","true","0.05","0.1","0.1","200","25","3","false","0.01","0.02","25","250","4","500","9","50","5","3000","3","151","1790","139.46061743693298","0.37748344370860926","0.25165562913907286","0.006622516556291391","0.23178807947019867","0.13245033112582782","0.28077584639190334","0.6929767453416575","0.6929786222728754","0.893448213910117","1","-0.036066656692050655","5.085516667668924","435.112582781457"
"11","0.1","1500","5","true","0.05","0.1","0.1","200","25","3","true","0.01","0.02","25","250","4","500","9","50","5","2467","2","185","1816","71.74097866035368","0.4540540540540541","0.13513513513513514","0.005405405405405406","0.23243243243243245","0.17297297297297298","0.5380742261777318","0.6959787197092857","0.6959787231914732","0.8181963103124024","1","0.018446858478882586","82.98020066506852","491.5243243243243"
"12","0.1","1500","5","true","0.05","0.1","0.1","200","25","3","true","0.01","0.02","25","250","4","500","9","50","5","2642","185","76","2343","109.62981848100995","0.5394736842105263","0.2894736842105263","0","0.11842105263157894","0.05263157894736842","0.6888910174186207","0.8031474548576311","0.8074553608637928","0.9243353707291526","1","-0.2620013717400554","49.71490657479069","627.7105263157895"
"13","0.1","1500","5","true","0.05","0.1","0.1","200","25","3","true","0.01","0.02","25","250","4","500","9","50","5","2696","107","100","2161","92.2126911502589","0.5","0.17","0.06","0.16","0.11","0.39129411184574886","0.6360458853002832","0.7421864174904524","0.8329800449586682","1","-0.048292624744343426","14.038058483369742","530.91"
"14","0.1","1500","5","true","0.05","0.1","0.1","200","25","3","true","0.01","0.02","25","250","4","500","9","50","5","3000","3","144","2281","98.25895655072736","0.5","0.1736111111111111","0.013888888888888888","0.1597222222222222","0.1527777777777778","0.43653978188753007","0.5417987612096864","0.5498808125372204","0.602807458298165","1","0.5144473325280958","5.022710230876708","357.78472222222223"
"15","0.1","1500","5","true","0.05","0.1","0.1","200","25","3","true","0.01","0.02","25","250","4","500","9","50","5","2723","76","95","1996","115.40428065912069","0.42105263157894735","0.23157894736842105","0.010526315789473684","0.14736842105263157","0.18947368421052632","0.569921524914627","0.6565118565774042","0.6565121915012585","0.7818973467577273","1","-0.66137124753858","29.32724655373931","542.9157894736842"
"17","0.1","1500","5","true","0.05","0.1","0.1","200","25","3","true","0.01","0.02","25","250","4","500","9","50","5","1658","114","444","1170","53.70001376289805","0.3963963963963964","0.12837837837837837","0.04054054054054054","0.24774774774774774","0.18693693693693694","0.6098167397568977","0.6421679166496751","0.6470129818307857","0.8597151961468565","1","-0.34933242523919833","7.23198525220028","305.09234234234236"
"19","0.1","1500","5","true","0.05","0.1","0.1","200","25","3","true","0.01","0.02","25","250","4","500","9","50","5","1540","17","563","827","60.93831017042359","0.29307282415630553","0.1705150976909414","0.03019538188277087","0.2664298401420959","0.23978685612788633","0.5278958016079308","0.5365199057685309","0.538907179487131","0.758867060348634","1","-0.051806183550434017","24.994439141479738","225.25044404973357"
"16","0.1","1500","5","true","0.05","0.1","0.1","200","25","3","true","0.01","0.02","25","250","4","500","9","50","5","3000","3","145","2144","132.48995817869633","0.46206896551724136","0.18620689655172415","0.034482758620689655","0.19310344827586207","0.12413793103448276","0.5533892547547395","0.6997782830655918","0.7060098518189806","0.7986249449943934","1","0.08560612956865846","5.145352338908259","393.3724137931035"
"18","0.1","1500","5","true","0.05","0.1","0.1","200","25","3","true","0.01","0.02","25","250","4","500","9","50","5","2225","22","305","1812","84.67901258071062","0.4065573770491803","0.17049180327868851","0.013114754098360656","0.21639344262295082","0.19344262295081968","0.43872274443840453","0.4604958554861463","0.49633307964742984","0.4997360571813434","1","0.012238156580437334","0.5175500777791864","361.7311475409836"
"20","0.1","1500","5","true","0.05","0.1","0.1","200","25","3","true","0.01","0.02","25","250","4","500","9","50","5","1713","76","353","1318","59.721654139618934","0.38526912181303113","0.09631728045325778","0.06232294617563739","0.26912181303116145","0.18696883852691218","0.26226694418588065","0.6313933303502923","0.6314323217740575","0.708914951049388","1","-0.025259997709771047","17.165974423230924","347.91784702549575"
