"BehaviorSpace results (NetLogo 5.0.4)"
"forage_12_model.nlogo"
"survival"
"04/06/2014 16:05:25:819 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","max-seed-val","[step]","count turtles"
"3","5","1000","62"
"2","5","1000","66"
"4","6","1000","71"
