"BehaviorSpace results (NetLogo 5.0.4)"
"forage_12_model.nlogo"
"hed-eud simple"
"03/30/2014 21:44:15:514 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","num-patches","pref","[step]","sum [energy] of foragers","mean [hval] of foragers","mean [eval] of foragers"
"4","5","0.8","101","534.7802169367344","0","0.5"
"2","5","0.2","101","498.52739669332874","0","0.5"
"3","5","0.2","101","804.9906981347152","0","0.5"
"1","5","0.2","101","355.32433549357313","0","0.5"
"5","5","0.8","101","175.946320139173","0","0.5"
"6","5","0.8","101","356.85195591555237","0","0.5"
