"BehaviorSpace results (NetLogo 5.0.4)"
"forage_taskv10-norep-_model.nlogo"
"experiment"
"03/15/2014 21:35:35:256 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-32","32","-32","32"
"[run number]","soc-mult","obs-mult","error-std","eat-mult","num-patches","collect-rate","e-per-tick","wan-val","mem-short","pref","nhf-dropoff","num-foragers","on-for","max-nhf","view-radius","hed-eud","max-seed-val","init-si","mem-long","example-ticks","const-energ-dec","wither-rate","die-chance","[step]","[energy] of foragers"
"2","1","1","0.1","1","5","0.05","0.1","1","100","0.75","0.1","200","true","1.5","5","true","2","1","1000","500","0.1","0.05","0.1","106","[1.1187233646062023 -10.537767083313527 -8.587934313372012 4.454545881139454 -10.581190480190198 -7.286471764666013 -10.599999999999978 -9.25783965350539 -10.599999999999978 -10.599999999999978 -10.485135166585142 -10.599999999999978 -10.599999999999978 -10.599999999999978 -10.599999999999978 -10.599999999999978 4.784725552187709 -10.425711554322767 -10.599999999999978 -10.599999999999978 -10.599999999999978 -7.825055788208553 -10.54327746044156 -10.599999999999978 -10.599999999999978 -10.590498398182033 -10.470293897348496 -10.518702192961609 -10.599999999999978 -9.716853476628959 -10.599999999999978 -10.599999999999978 -10.599999999999978 -4.1438810861295545 -10.599999999999978 -10.599999999999978 -7.3346067135250514 -9.930353330177212 -10.508668473708257 -8.734244748865132 -10.599999999999978 -10.599999999999978 -10.599999999999978 -10.599999999999978 -10.599999999999978 -9.475370714558677 -9.565488143374319 -7.697718744119863 -6.451892772616918 -8.98727198221057 -10.052163112382349 -9.874189827697359 -9.583323018057508 -7.278423035584174 -10.599999999999978 -9.348203829646028 -9.004172688169035 -9.521112774412165 -10.051017510231873 -10.599999999999978 -10.599999999999978 -10.497479939506311 -10.599999999999978 -10.589717836165608 -10.361671235631638 -10.599999999999978 -10.599999999999978 -10.599999999999978 -10.599999999999978 -10.599999999999978 -7.913663583131863 -9.795841954874906 -10.599999999999978 -4.033408762982691 -9.060287735389995 -10.599999999999978 -10.599999999999978 -10.599999999999978 -10.599999999999978 -9.443110757647291 -10.599999999999978 -10.599999999999978 -10.597695859554177 -9.259613652716885 -4.57358139254352 -10.599999999999978 -4.67669613600143 -10.34873098109456 -10.599999999999978 -10.599999999999978 -10.599999999999978 -10.599999999999978 -10.565560759272303 -10.438925134856776 -10.599999999999978 -9.55995857533243 -10.329296461739602 -10.599999999999978 -6.693073978264076 -10.599999999999978 -10.599999999999978 -10.599999999999978 -10.599999999999978 -10.599999999999978 -10.599999999999978 -9.948545163230428 -5.9816641745742025 -10.599999999999978 -10.599999999999978 -5.678255433652879 -9.69044727301031 -8.634663031042395 -10.599999999999978 -6.2389248557401515 -10.599999999999978 -10.506287507532784 -9.916372051206766 -10.589342483161156 -10.599999999999978 -10.508843565895157 -10.597458949309521 -10.599999999999978 -8.2484486928274 -10.19882653774688 -10.599999999999978 -10.599999999999978 -10.599999999999978 -10.595278388634293 4.51861377937295 -10.599999999999978 -10.556678704134415 -9.22729823835903 -10.599999999999978 -10.599999999999978 -10.599999999999978 -10.599999999999978 -10.599999999999978 -3.3833430558465976 -10.436215304550897 -10.415424052558713 -10.407047030641552 -10.0818418576226 -10.543464046859063 -10.599999999999978 -10.599999999999978 -9.446719172912319 -10.599999999999978 -10.599999999999978 -9.793329262970971 -7.382772833470106 -10.599999999999978 -10.599999999999978 -9.618009810273877 -10.599999999999978 -2.4275356240568096 -5.5044660385715805 -8.717748321620206 -7.178336960378356 -10.599999999999978 -9.481077864643446 -10.599999999999978 -6.894609351029987 -10.29484912569221 -10.599999999999978 -10.599999999999978 -10.599999999999978 -9.111982998586893 -10.599999999999978 -10.599999999999978 -10.599999999999978 -10.166802167909362 -10.211009857544925 -10.599999999999978 -10.599999999999978 -0.6325202133363305 -9.92929038394858 -10.596560812556037 -9.553456384905324 -10.599999999999978 -10.599999999999978 -10.357157785940757 -10.599999999999978 -8.725724522133753 -10.599999999999978 -10.599999999999978 -10.307720893210838 -10.599999999999978 -10.132723170968125 -10.58397581426238 -10.599999999999978 -10.599999999999978 -10.599999999999978 -10.599999999999978 -10.599999999999978 -10.599999999999978 -10.599999999999978 -10.599999999999978 -6.954180449320745 -8.4187336231872 -10.599999999999978]"
"3","1","1","0.1","1","50","0.05","0.1","1","100","0.25","0.1","200","true","1.5","5","true","2","1","1000","500","0.1","0.05","0.1","187","[7.9555525519147245 -12.459991091101013 -16.733074895458714 -18.699999999999996 -13.174000754105002 -18.699999999999996 6.908039980134378 -12.290717418668915 -13.033417705069818 -18.222394968210637 -9.027085906369416 -9.547826969836859 -9.940083517387725 -4.213870417586808 -13.871911403252845 -17.724713815503762 -18.699999999999996 -15.060075734340229 -10.256040425174323 -8.036970776580047 -18.31467744615301 -12.239094916882411 -16.854090038840166 -11.728624251050672 -13.626802052304681 -18.234814552306563 -3.2723468874494968 6.077280111612076 -9.01186391772189 -10.256353669127678 -2.4308013906272965 -10.065950608213315 -16.921903204636145 -8.748837889133645 -11.4604957291268 -16.304578935031774 -12.322860597430074 -3.4891770593331928 -18.699999999999996 -17.278543385660733 -16.84920254790205 -18.18291643828468 -18.699999999999996 -18.699999999999996 -14.435484066178311 -15.115560726933285 -10.920376734421625 7.007812829750954 -1.2453378667678412 -17.5507290525864 -4.157631605879089 -15.691399115004385 -17.820855703838678 -4.6918995244052475 -13.899611693328872 -18.699999999999996 0.9526182239524986 -16.960682233926605 -3.4612640223152904 -11.912762463136128 0.6204892564808548 3.3333970278286285 2.697947408790786 -12.466134499113222 -16.784463164418156 7.6100608317025245 -18.699999999999996 -18.699999999999996 -8.263514327625858 -15.333679393581598 4.854280656306358 -17.084247428725206 -18.699999999999996 -11.692082423524585 -18.699999999999996 -14.792861909804197 -14.44206098934432 20.0739776072158 -7.523179880861368 -12.55594609694142 -18.040540987671758 -1.6819713193102237 -14.824517431999032 -9.349194226123162 -12.721477664970193 -15.857258896230828 -17.57037082519611 -17.829871328688114 -15.859474017932715 -13.14927003629008 12.345259508323787 -8.687353522915938 -18.699999999999996 -18.699999999999996 -17.560098881844592 -14.23678232974192 -17.820553105354538 3.7937383305162644 -7.864288419899698 -16.962358896348405 -15.768429596095046 -15.428771756585746 -2.050592180024409 2.1481754435600204 -9.705514055225416 -5.784831022956744 -5.585755513735177 -12.808663548392166 -18.699999999999996 -10.841779009549603 -16.482005659119572 -17.664474535714174 -4.219590425493234 -18.699999999999996 -15.059047556342131 -18.699999999999996 -8.67076066444188 -18.699999999999996 -4.199937839763134 -16.057964006859315 -18.699999999999996 -16.055460409157927 -6.501739450146772 -16.63659872435035 -12.113529946142897 -17.012677007569465 -6.525981220130359 -15.336807646772177 -0.6610200640206202 -2.246935127358846 -14.997615960429929 -4.860755100889434 -17.341277053290135 -17.07504095391642 -8.98958791823123 -7.3810199701578005 -18.699999999999996 -4.427627564437611 -15.317775115144409 -16.74715283604044 0.9725304408300103 -18.577466750562863 -13.238592308344106 -3.237811243173704 -12.758555005946686 -11.560396455063138 -12.081481995252814 -17.97768501849422 -10.611277042664598 -6.008193519948418 -2.285021566586371 -6.39282502408692 9.796984848963792 -12.023146831217382 -0.7267161223772762 13.5340861568636 -14.734406279744924 -2.9671858997121774 -5.570208529743118 -18.699999999999996 -12.331160449942377 1.9815096959571021 -17.41606525284305 -6.300587715906766 -13.706962515919813 -18.699999999999996 -8.406519173800993 -6.241372490093309 -17.407207271251945 -4.036756839312885 -18.699999999999996 -12.607167000716446 -18.699999999999996 -12.672619802985082 -6.616079482629429 -10.197113132666173 -11.534592359046423 -17.314708222237034 -11.430961022910672 -16.900036265824497 -10.084524657856672 -12.804938678156251 -11.65088702559611 -11.913250980190552 -9.566484422196424 -11.405735273256443 -17.5956933039977 -7.176171423342689 -14.637737142849874 3.2150479229289983 -18.699999999999996 -13.844023464158752 -18.699999999999996 -16.767656747507566 -17.110465354446916 -13.475907888771882 -5.218527551337946 -6.642390231464717 1.5198436919088212 -10.158858325734716]"
"1","1","1","0.1","1","5","0.05","0.1","1","100","0.25","0.1","200","true","1.5","5","true","2","1","1000","500","0.1","0.05","0.1","556","[-40.15125018679169 -51.38989524532299 -54.96744888987281 -46.5315627180101 -46.016461753676815 -40.318406543897815 -55.5310158667411 -53.66343665490586 -55.39337675853276 -53.93968615193608 -52.98747251248039 -43.092117060616594 -31.638309873460123 -40.72319196629484 -47.9200901575578 -55.52679397453455 -54.923125597039 -55.60000000000052 -51.32694543836268 -46.558931250781875 -50.181280799396475 -55.392472132575705 -39.61203410728826 -28.83907616119523 -55.60000000000052 -51.571780377929095 -52.18274729665723 -53.07607650986286 -55.60000000000052 -54.248469591613684 -45.91098668419552 -53.69501173896225 -50.73086513035203 -42.52529740539784 -55.115347087321155 -48.27524596530957 -54.70953822591168 -51.85863261044692 -55.457059287987256 -55.455135829031754 -44.536940706352226 -54.503260708453546 -49.19918306076482 -49.92557485160878 -49.883741515494485 -54.48018348756228 -53.92507078731924 -40.592772369697244 -33.08656216618707 -39.06914827215693 -38.09924344279692 -34.87738982020851 -5.143224525125183 -53.458249574403496 -52.674171343474754 -54.884340367694215 -53.28160077991663 -53.505096651317764 -47.92565801638226 -45.63229348903979 -49.96876109024263 -38.00951691476616 -53.469238592976495 -55.46648602676918 -50.46809813309969 -21.520502860681113 -53.763120906419104 -54.85830351439635 -53.45179089524002 -55.15696035968577 -51.05637772872896 -52.62387891637903 -55.60000000000052 -55.60000000000052 -47.47054452911725 -52.763026775914504 -54.26822674207439 -49.74302399886021 -55.371213812499214 -40.88886494592929 -52.680785173786724 -51.915153376953704 -53.674388119454036 -42.205235513145084 -43.26448599733119 -51.44236189346383 -55.55268584915532 -53.17166012302376 -51.24958835361618 -53.86405613449829 -54.07726314334443 -44.85163810682558 -45.010388480253425 -55.52726182410682 -55.60000000000052 -50.38631987555565 -53.24615409388425 -55.60000000000052 -53.81812293109623 -47.064752802505716 -53.236174133143635 -55.55061836012589 -53.288564332796646 -54.485010461286755 -50.05467533672783 -53.400940517932845 -43.16626032011669 -52.20511111473057 -55.1231602921471 -55.54944027328848 -41.08133428905483 -55.27578855019856 -51.67813000787429 -52.34650933862423 -47.05792593297201 -53.20818371577098 -47.362975511333495 -46.56220495228022 -39.81962539605688 -49.294679915705395 -52.639813844181525 -48.10510314536759 -48.54182295795738 -52.233616833724064 -55.59681891230446 -55.25426750532346 -54.94387491202049 -49.43633811047964 -55.56931917880682 -41.97779559664961 -44.505245173036975 -55.13006037542969 -55.43150595504475 -51.63100104691457 -53.241896852860506 -47.506459885413236 -48.22507744598525 -51.941651250809144 -46.55342095025896 -52.864447848746316 -52.7495894543746 -55.60000000000052 -44.87896541345863 -53.33806912500359 -42.23027044217756 -46.762209034071816 -42.51696417389442 -54.099361996485435 -49.26131354822071 -52.8913824430747 -49.751163275474596 -54.69594896404061 -53.96695701953177 -52.20540624661619 -47.972043431051524 -54.50588005958059 -55.60000000000052 -47.680448442880895 -49.98816116970476 -21.983800079959973 -40.10501225503128 -53.5035472783806 -51.61818672759208 -51.07700913384398 -52.83153272407688 -54.94031332810163 -29.194109900370943 -35.2531167356744 -47.48099417878127 -55.60000000000052 -55.60000000000052 -53.94783630722892 -53.272080681027525 -49.04117525575309 -51.03492556536928 -50.83393481158015 -55.38899120103394 -50.93699346592987 -48.902261068847906 -55.08672375886071 -50.00293238522145 -51.20751298168098 -53.561881079475675 -45.872122221247736 -43.83718756658493 -51.92014123232761 -52.52743770029092 -55.308743170011134 -42.3735574991369 -44.4548745353172 -43.06267662805288 -54.26868249949884 -54.12600090865757 -54.40749571144317 -52.152476616165956 -53.401087263721735 -53.369375817862014 -55.60000000000052 -39.869232322439075 -49.570406285830245]"
"4","1","1","0.1","1","50","0.05","0.1","1","100","0.75","0.1","200","true","1.5","5","true","2","1","1000","500","0.1","0.05","0.1","919","[-41.65574909489469 -46.07241327936841 -36.97330848647939 -34.69637747295966 -10.840528278353176 -56.24659882553398 -23.8804647397195 -38.64951910806205 -39.51246962770932 -47.242729709399796 -32.23814182366395 -27.416927298419846 -21.082428594986894 -43.17535002743069 -55.78187588681944 -53.04073429637691 -60.4189521101008 -77.20311679144729 -21.253929492435518 -44.6392472695247 -24.422338073922337 -62.07592605786949 -11.430952936878608 -36.17266250026731 -41.369150122835784 -30.42744066443645 -67.4645446844716 -54.44615488983683 -41.15650033843569 -52.40723551620814 -42.07934619154261 -71.78155500644544 -25.277046773600432 -49.92206841053331 10.324748027475877 -53.62940917442086 -54.1379240296042 -80.91551547266474 -56.59426844119044 -27.862466364973507 -39.83365304453317 -23.850674274349586 -48.61567717378846 -36.55095424304486 -29.52215532102594 -56.63413982516762 -48.59039325025931 -35.341934888266046 -47.81017059475785 -29.9662434979209 -11.63318711148689 -38.59399123780986 -36.96039676485202 -24.91826241816435 -35.36101593835316 -43.38459708075609 14.759294862845136 13.495407736973192 -67.10038347890386 -32.50119881249132 -55.09625019586512 -56.43078180808656 -13.742095178529432 16.77460723606505 -42.31317173941726 -23.430168007334593 -28.198365166194975 -53.2228962143346 -14.937029696270057 -43.03286097695456 -22.14662479953029 -40.93163814278141 -39.076374339354324 -60.1815582042266 -67.73649548865893 -64.92477222696148 -32.04848314108781 -28.598761598431903 -51.945613347749045 -53.53154029976526 -52.31917872084039 -31.115085072201456 -71.79715082284059 -2.9068498958193314 -43.9860058777223 7.525743121434012 -57.148043616027394 -2.891291122593423 -32.561879977948124 -51.798545009214294 -51.85244266415945 -40.90515663422793 -27.308917581052416 -15.940880855532624 -44.09318693351817 -36.07911880994902 -8.05564868753703 -67.94945182811699 -48.336149447575266 -41.782513640164744 -26.98391311925895 -64.40053998271841 -46.74261518203354 -34.57341674649032 -62.078900574554616 -66.64921229467018 -10.429937622221559 -44.70377942843372 -34.636111909593666 -59.08743278024892 -42.03303836546134 -57.234842482255225 -52.61302304029992 -68.63360682045052 -51.10640287013543 -57.69244632812768 -22.915444829975986 -39.401036350535676 -34.26326340183049 0.6814162148303793 -45.86142259139571 -29.849810458774154 -0.8698060701014779 -41.437694970703554 -57.40590389088896 -63.55961992813353 -52.185028714193706 -20.940400670747383 -43.532349518785786 -49.968422171977444 -55.131840929931016 -34.95590738003706 -35.31352087417145 -17.252957617488622 -64.33834799401482 -12.640169605777634 -48.90402699150445 -41.837869676392316 17.30666079555038 -51.25825968872187 -58.47762429465203 -4.351287009994204 -27.984457447475613 -16.38994388210953 -50.92108328884343 -8.337895716804782 -38.36317154982413 -45.94373329240785 -28.41126288027643 -33.724183970811595 -35.218294721356386 -57.55855343918032 17.165071959729417 -9.365848994865539 -27.852843245757924 -70.30250859344363 -1.4171229006530568 -50.085718422378854 -23.014695019724137 -44.189383103968275 -28.70337565244523 -39.53482475821255 -27.345694666273456 -58.77187825526834 -47.701734786047346 -72.05922813204985 -67.62203960328253 -56.48093413954532 -49.767224659497245 -53.18367056842415 -24.17077417094131 -37.03224439611115 -45.83635684964929 -51.23239203105092 -41.65809416777069 -27.515236238537305 -56.287573631214094 -36.957292115214976 -56.63288408372523 -70.74034271191488 -37.47704244229383 -63.61363010506453 -58.68532414146802 -30.73062037362348 -31.636358999797416 -25.57604131521628 -39.31615705634065 -58.594137698744554 -30.776234526755346 -66.43915821042681 -21.767196331867716 -56.67460446053741 -20.409111939050284 -46.99709080398399 -26.814439486759884 -25.86995322059666 3.6649840253988923 -57.46333100600087 -52.80506397344852 -15.813519141149065]"
