"BehaviorSpace results (NetLogo 5.0.4)"
"forage_12_model.nlogo"
"difficult_at_500"
"04/25/2014 16:48:28:283 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-40","40","-40","40"
"[run number]","num-patches","max-seed-val","error-val","eval","h-mult","init-si","pref","[step]","control","sum [energy] of foragers"
"64","20","20","0.1","5","0.1","7","0.4","750","664.6789678995514","716.5740282690325"
"63","20","20","0.1","5","0.1","7","0.4","750","928.8663727326889","1320.6257587295415"
"60","20","20","0.1","5","0.1","6","0.7","750","13190.680430267243","2034.3319852571371"
"65","20","20","0.1","5","0.1","7","0.5","750","2825.9288371280163","1710.7830664085736"
"66","20","20","0.1","5","0.1","7","0.5","750","2436.0115835155316","2388.9896882185667"
"67","20","20","0.1","5","0.1","7","0.6","750","6120.954973239808","2196.2849905719713"
"71","20","20","0.1","5","0.1","8","0.3","750","550.1893517784316","344.8731357513215"
"68","20","20","0.1","5","0.1","7","0.6","750","6463.227838673876","2016.6024689633814"
"72","20","20","0.1","5","0.1","8","0.3","750","254.6466732731575","115.23660727005978"
"69","20","20","0.1","5","0.1","7","0.7","750","9607.910106373749","2521.2156149682846"
"70","20","20","0.1","5","0.1","7","0.7","750","10189.508114868479","2348.4035744785856"
"73","20","20","0.1","5","0.1","8","0.4","750","1459.8122544473458","1773.8350375542466"
"74","20","20","0.1","5","0.1","8","0.4","750","1242.9548488706073","1760.3723837290931"
"75","20","20","0.1","5","0.1","8","0.5","750","3053.3339522869296","1797.8512889955152"
"76","20","20","0.1","5","0.1","8","0.5","750","3349.957299859619","1523.7963901340822"
"77","20","20","0.1","5","0.1","8","0.6","750","6444.668987273567","1143.4053611738618"
"78","20","20","0.1","5","0.1","8","0.6","750","6284.270876558411","750.1474036956221"
"82","20","20","0.1","5","0.1","9","0.3","750","334.3618948831867","225.92503569486817"
"81","20","20","0.1","5","0.1","9","0.3","750","506.81009653719923","310.94512179263603"
"79","20","20","0.1","5","0.1","8","0.7","750","10125.070775832168","1089.0747696733545"
"80","20","20","0.1","5","0.1","8","0.7","750","9866.756100378452","838.9001891661738"
"83","20","20","0.1","5","0.1","9","0.4","750","1650.904374867213","2084.173826347796"
"84","20","20","0.1","5","0.1","9","0.4","750","1871.4673636455964","2191.696437548955"
"85","20","20","0.1","5","0.1","9","0.5","750","3169.520654808261","3145.824310704798"
"86","20","20","0.1","5","0.1","9","0.5","750","3776.6612309350107","2457.5436485701784"
"87","20","20","0.1","5","0.1","9","0.6","750","8697.812541459665","1624.5901834885806"
"88","20","20","0.1","5","0.1","9","0.6","750","8699.649660307106","1317.4101784073337"
"91","20","20","0.1","5","0.1","10","0.3","750","307.87421258910763","70.75251316181524"
"89","20","20","0.1","5","0.1","9","0.7","750","12596.048669751297","2076.0858785503965"
"90","20","20","0.1","5","0.1","9","0.7","750","12844.711156931136","1507.674457852412"
"92","20","20","0.1","5","0.1","10","0.3","750","679.4658695191669","315.6912766121869"
"93","20","20","0.1","5","0.1","10","0.4","750","1231.8899431666275","1322.912920631811"
"94","20","20","0.1","5","0.1","10","0.4","750","1197.2023252917327","1849.3234763064158"
"95","20","20","0.1","5","0.1","10","0.5","750","3329.650551975671","1732.453637253517"
"96","20","20","0.1","5","0.1","10","0.5","750","2335.728859077604","2260.160973067815"
"97","20","20","0.1","5","0.1","10","0.6","750","6228.206403344886","1299.839388636948"
"98","20","20","0.1","5","0.1","10","0.6","750","5515.114644065911","1602.7550211199468"
"99","20","20","0.1","5","0.1","10","0.7","750","8468.651467547346","1550.9569998608686"
"100","20","20","0.1","5","0.1","10","0.7","750","9601.583108250983","1537.4905584051767"
