"BehaviorSpace results (NetLogo 5.0.4)"
"forage_QL_model.nlogo"
"E1-compare-difficulty"
"05/04/2014 16:43:05:467 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","max-penergy","[step]","matrix:to-row-list mean-m-mat","count foragers"
"3","25","10000","[[-0.2662986748194822 1.3908448200271721 -0.11463887613423987 2.6339367511106238 2.011019720474726] [3.6318166135898284 -2.0183058416842736 -0.7478612764808322 -5.596430625415424 0.19225261967154667] [-1.440061607411013 3.807336904586082 -0.909087537529348 5.532628313959541 1.6924360595549706] [-1.3859723383205358 -0.6186681225154289 3.4106849225813374 -3.2856289652860657 0.6042151556396025] [1.4340280288202083 -2.1697850122127496 -6.016424767819898 2.306110857725587 5.97497522508826] [1.3377063690177686 0.10235893676884615 1.7277353678987613 0.6374109821075299 -0.658623407711025] [-1.835611058632557 0.7713574527226843 7.1373017542048505 -4.695486376281393 -1.9826745642815096] [6.014793020685871 -2.796015748398571 -14.408285389403565 4.75309644706462 2.36263451373239] [-3.8512591486322307 -2.7984644382910577 2.0349359798610553 -1.8757144588371557 -6.567020488257102] [-2.2256091749561446 -2.179615448151862 1.8402693593376227 -2.560322760308674 -10.970822007457452]]","1000"
"4","25","10000","[[0.5551346114920058 0.3315220158271287 -0.26811989597477554 1.3444894852205465 2.92431675740784] [3.3954524155227115 -1.1504988450841727 0.5497363173062569 -7.49354623968953 -1.2047200004523044] [0.8626731722629459 3.0763817202770154 -1.9107877273110225 5.709508442877896 -0.06990682036430253] [-0.8507575967308522 -0.548871520948529 4.739591124014628 -1.453040776482412 -0.7198535493616869] [-0.23784655978642125 -0.4598225749907929 -5.305618127135732 3.718022824477293 4.795529039614519] [1.8260630223516414 0.38626533454808 3.2547279597134127 -2.2655129097953397 -0.6822331587580867] [-2.72124343187047 -2.3312341585057363 7.5390208161708365 -3.428295693124633 -0.8197859516744772] [5.2306096488645855 -1.6457393929332083 -12.406501415117916 4.028154198962161 0.9116403030796749] [-2.8225088063936177 -2.377957646852549 1.4956492434930162 -2.9521447285545945 -4.846230921396405] [0.9645542716514844 -2.2183012282888406 2.151584667173218 -3.49508202929779 -9.976041531161005]]","1000"
"1","25","10000","[[-0.7732831922176928 1.6063495324698278 -0.9499890141129195 2.202094252375246 1.570948340224749] [3.3328117442711527 -1.8165753857077123 0.4326794451960135 -4.106039688900842 0.02324465018825398] [-1.2507882001823518 2.2514490761320376 -1.5680301345035965 3.1427032390494207 1.472059562298209] [1.1412433873070547 -1.7036855863620102 3.5475997999019544 -3.9925748486176795 1.910700244007219] [0.029824707873168533 -2.185215841930864 -5.8287908400447535 3.7659174265661255 3.7616534436338545] [1.8009265695964234 -0.0841665383132572 1.8841195890263327 -2.42561002549891 -4.126866263036327] [-1.653745303007947 -0.15608574055040755 5.99778687568415 -2.4889435565406215 -3.199298856215025] [4.018812076457665 -2.2310168994097976 -12.382118334088858 5.063139755628758 3.2632911015788215] [-3.4336703514033324 -2.08329763252103 3.1405019788561015 -2.258949234966231 -5.841621388343025] [1.0291329036665526 -0.6444259727619991 -0.36846938109236715 -5.420170240073774 -10.643515862482634]]","1000"
