"BehaviorSpace results (NetLogo 5.0.4)"
"forage_12_model.nlogo"
"E1-Survival"
"04/28/2014 16:51:29:936 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-40","40","-40","40"
"[run number]","max-seed-val","num-patches","hed-eud","init-si","[step]","sum [energy] of foragers"
"120","30","20","0","10","501","9294.874477347004"
"121","30","25","0","1","501","12660.980587936656"
"122","30","25","0","1","501","12408.338864065567"
"123","30","25","0","1","501","15085.529901788104"
"124","30","25","0","2","501","11986.099963440098"
"125","30","25","0","2","501","10323.239989243024"
"127","30","25","0","3","501","15363.683990451847"
"126","30","25","0","2","501","15314.622357979473"
"128","30","25","0","3","501","15870.208233450006"
"129","30","25","0","3","501","13915.720659496561"
"130","30","25","0","4","501","6460.362032513742"
"132","30","25","0","4","501","8714.893436464505"
"131","30","25","0","4","501","8519.720437857548"
"133","30","25","0","5","501","10376.80522632872"
"134","30","25","0","5","501","8475.276015267285"
"135","30","25","0","5","501","9900.619330740512"
"136","30","25","0","6","501","19037.98683123907"
"137","30","25","0","6","501","19023.202425596704"
"138","30","25","0","6","501","18466.21979237478"
"139","30","25","0","7","501","11806.49932780193"
"140","30","25","0","7","501","8523.966052499829"
"141","30","25","0","7","501","16045.836334969441"
"142","30","25","0","8","501","18372.157081458743"
"143","30","25","0","8","501","23209.643254126033"
"144","30","25","0","8","501","18714.838093964667"
"145","30","25","0","9","501","15700.909194644877"
"146","30","25","0","9","501","14585.117645297778"
"147","30","25","0","9","501","15318.640834815627"
"148","30","25","0","10","501","12411.013507506937"
"149","30","25","0","10","501","13104.594540030866"
"150","30","25","0","10","501","14622.04702397359"
"151","30","30","0","1","501","16108.637050224088"
"154","30","30","0","2","501","10250.013217171118"
"153","30","30","0","1","501","15493.956878823597"
"152","30","30","0","1","501","13774.101915493702"
"155","30","30","0","2","501","11430.206145913467"
"156","30","30","0","2","501","12173.144697294067"
"157","30","30","0","3","501","10537.570226052872"
"158","30","30","0","3","501","10992.02284912958"
"159","30","30","0","3","501","13568.709585414925"
"160","30","30","0","4","501","4453.656499265827"
"161","30","30","0","4","501","4992.929761440368"
"162","30","30","0","4","501","7725.49441800363"
"163","30","30","0","5","501","16793.36248631286"
"164","30","30","0","5","501","14552.715071237195"
"165","30","30","0","5","501","14298.453277591507"
"166","30","30","0","6","501","15199.424938325412"
"167","30","30","0","6","501","10928.681812482342"
"168","30","30","0","6","501","13437.608183243856"
"169","30","30","0","7","501","15138.37578876247"
"171","30","30","0","7","501","11595.05733814327"
"172","30","30","0","8","501","9352.073945258786"
"173","30","30","0","8","501","8756.383980435274"
"170","30","30","0","7","501","14242.082122240075"
"174","30","30","0","8","501","7881.517452153314"
"176","30","30","0","9","501","8518.86264040419"
"175","30","30","0","9","501","14954.465427567393"
"177","30","30","0","9","501","12736.068909462503"
"178","30","30","0","10","501","18932.82712046748"
"179","30","30","0","10","501","19412.154306894063"
"180","30","30","0","10","501","18186.18398912307"
