10,25,20,1,2,0.7,0.4,115,0,62.5
193,25,20,4,2,0.9,0.4,118,0,56
238,25,20,4,5,0.9,0.4,125,0,41
202,25,20,4,3,0.5,0.4,128,0,55
190,25,20,4,2,0.7,0.4,129,0,57
148,25,20,3,3,0.9,0.4,131,0,51.5
187,25,20,4,2,0.5,0.4,131,0,44
194,25,20,4,2,0.9,0.5,131,0,25
209,25,20,4,3,0.9,0.5,132,0,29
67,25,20,2,2,0.5,0.4,133,0,66
73,25,20,2,2,0.9,0.4,133,0,45
191,25,20,4,2,0.7,0.5,133,0,37
208,25,20,4,3,0.9,0.4,133,0,40
250,25,20,5,2,0.7,0.4,133,0,45
28,25,20,1,3,0.9,0.4,135,0,53
220,25,20,4,4,0.7,0.4,136,0,49
235,25,20,4,5,0.7,0.4,136,0,43
43,25,20,1,4,0.9,0.4,137,0,31
205,25,20,4,3,0.7,0.4,137,0,43
25,25,20,1,3,0.7,0.4,138,0,44
253,25,20,5,2,0.9,0.4,139,0,42
298,25,20,5,5,0.9,0.4,139,0,50.5
13,25,20,1,2,0.9,0.4,140,0,42
14,25,20,1,2,0.9,0.5,143,0,43.5
22,25,20,1,3,0.5,0.4,145,0,52
7,25,20,1,2,0.5,0.4,146,0,49
70,25,20,2,2,0.7,0.4,146,0,48
130,25,20,3,2,0.7,0.4,146,0,75
4,25,20,1,2,0.3,0.4,148,0,124
239,25,20,4,5,0.9,0.5,149,0,35
223,25,20,4,4,0.9,0.4,151,0,38
127,25,20,3,2,0.5,0.4,152,0,63
265,25,20,5,3,0.7,0.4,152,0,45.5
100,25,20,2,4,0.7,0.4,155,0,65
133,25,20,3,2,0.9,0.4,155,0,49
244,25,20,5,2,0.3,0.4,155,0,81
40,25,20,1,4,0.7,0.4,156,0,43.5
145,25,20,3,3,0.7,0.4,158,0,50
74,25,20,2,2,0.9,0.5,160,0,34
163,25,20,3,4,0.9,0.4,160,0,47
268,25,20,5,3,0.9,0.4,160,0,38
199,25,20,4,3,0.3,0.4,162,0,118
217,25,20,4,4,0.5,0.4,163,0,52
64,25,20,2,2,0.3,0.4,165,0,165
103,25,20,2,4,0.9,0.4,166,0,44
283,25,20,5,4,0.9,0.4,167,0,42
88,25,20,2,3,0.9,0.4,168,0,40
269,25,20,5,3,0.9,0.5,168,0,39
160,25,20,3,4,0.7,0.4,170,0,53
82,25,20,2,3,0.5,0.4,171,0,51.5
58,25,20,1,5,0.9,0.4,173,0,56
241,25,20,5,2,0.1,0.4,174,0,174
232,25,20,4,5,0.5,0.4,175,0,65
262,25,20,5,3,0.5,0.4,175,0,49.5
149,25,20,3,3,0.9,0.5,176,0,44
184,25,20,4,2,0.3,0.4,176,0,61
195,25,20,4,2,0.9,0.6,176,0,35.5
121,25,20,3,2,0.1,0.4,179,0,179
85,25,20,2,3,0.7,0.4,181,0,55
254,25,20,5,2,0.9,0.5,181,0,27
181,25,20,4,2,0.1,0.4,183,0,183
19,25,20,1,3,0.3,0.4,185,0,94
196,25,20,4,3,0.1,0.4,185,0,185
214,25,20,4,4,0.3,0.4,185,0,81
178,25,20,3,5,0.9,0.4,186,0,32.5
206,25,20,4,3,0.7,0.5,186,0,32
280,25,20,5,4,0.7,0.4,186,0,48.5
218,25,20,4,4,0.5,0.5,190,0,69
224,25,20,4,4,0.9,0.5,190,0,21
142,25,20,3,3,0.5,0.4,191,0,79
94,25,20,2,4,0.3,0.4,192,0,135
97,25,20,2,4,0.5,0.4,192,0,60
203,25,20,4,3,0.5,0.5,192,0,37
55,25,20,1,5,0.7,0.4,193,0,60
185,25,20,4,2,0.3,0.5,194,0,54
112,25,20,2,5,0.5,0.4,195,0,74
134,25,20,3,2,0.9,0.5,197,0,40.5
247,25,20,5,2,0.5,0.4,197,0,53
79,25,20,2,3,0.3,0.4,200,0,118
256,25,20,5,3,0.1,0.4,201,0,201
259,25,20,5,3,0.3,0.4,203,0,110
211,25,20,4,4,0.1,0.4,204,0,204
229,25,20,4,5,0.3,0.4,205,0,76
277,25,20,5,4,0.5,0.4,207,0,59
236,25,20,4,5,0.7,0.5,208,0,36
37,25,20,1,4,0.5,0.4,211,0,79
295,25,20,5,5,0.7,0.4,215,0,48
188,25,20,4,2,0.5,0.5,217,0,41
281,25,20,5,4,0.7,0.5,217,0,36
104,25,20,2,4,0.9,0.5,220,0,32
172,25,20,3,5,0.5,0.4,222,0,82
89,25,20,2,3,0.9,0.5,228,0,54.5
124,25,20,3,2,0.3,0.4,228,0,79
292,25,20,5,5,0.5,0.4,228,0,62
226,25,20,4,5,0.1,0.4,232,0,232
109,25,20,2,5,0.3,0.4,236,0,122
71,25,20,2,2,0.7,0.5,238,0,42
131,25,20,3,2,0.7,0.5,238,0,39
31,25,20,1,4,0.1,0.4,240,0,189
251,25,20,5,2,0.7,0.5,244,0,40
29,25,20,1,3,0.9,0.5,245,0,49
16,25,20,1,3,0.1,0.4,248,0,154
86,25,20,2,3,0.7,0.5,248,0,31
182,25,20,4,2,0.1,0.5,254,0,184
61,25,20,2,2,0.1,0.4,258,0,258
274,25,20,5,4,0.3,0.4,259,0,73
1,25,20,1,2,0.1,0.4,263,0,126
91,25,20,2,4,0.1,0.4,263,0,186
118,25,20,2,5,0.9,0.4,263,0,44
248,25,20,5,2,0.5,0.5,264,0,47
299,25,20,5,5,0.9,0.5,264,0,39
52,25,20,1,5,0.5,0.4,272,0,51
115,25,20,2,5,0.7,0.4,278,0,46
5,25,20,1,2,0.3,0.5,280,0,78
164,25,20,3,4,0.9,0.5,280,0,36
136,25,20,3,3,0.1,0.4,290,0,195
192,25,20,4,2,0.7,0.6,298,0,49
284,25,20,5,4,0.9,0.5,298,0,29
98,25,20,2,4,0.5,0.5,311,0,41
245,25,20,5,2,0.3,0.5,317,0,74
175,25,20,3,5,0.7,0.4,364,0,61
83,25,20,2,3,0.5,0.5,376,0,48
59,25,20,1,5,0.9,0.5,388,0,39
266,25,20,5,3,0.7,0.5,420,0,42
62,25,20,2,2,0.1,0.5,421,0,131
2,25,20,1,2,0.1,0.5,501,836.8641765,161.5
3,25,20,1,2,0.1,0.6,501,4128.039552,110
6,25,20,1,2,0.3,0.6,501,2909.068589,55
8,25,20,1,2,0.5,0.5,501,333.0770971,39
9,25,20,1,2,0.5,0.6,501,1399.146095,45
11,25,20,1,2,0.7,0.5,501,249.8470422,32.5
12,25,20,1,2,0.7,0.6,501,672.115535,30.5
15,25,20,1,2,0.9,0.6,501,252.2395379,39
17,25,20,1,3,0.1,0.5,501,1735.015684,149
18,25,20,1,3,0.1,0.6,501,5416.205529,96
20,25,20,1,3,0.3,0.5,501,1752.558016,79
23,25,20,1,3,0.5,0.5,501,773.4992488,57.5
21,25,20,1,3,0.3,0.6,501,3246.833082,53.5
24,25,20,1,3,0.5,0.6,501,2694.390452,37
26,25,20,1,3,0.7,0.5,501,384.9398403,36
27,25,20,1,3,0.7,0.6,501,573.398516,35
30,25,20,1,3,0.9,0.6,501,384.7397304,33
34,25,20,1,4,0.3,0.4,501,759.6043239,113.5
32,25,20,1,4,0.1,0.5,501,2856.644856,116.5
35,25,20,1,4,0.3,0.5,501,1754.137128,72.5
33,25,20,1,4,0.1,0.6,501,8385.230314,91
38,25,20,1,4,0.5,0.5,501,1008.506955,58.5
36,25,20,1,4,0.3,0.6,501,4441.118474,49
39,25,20,1,4,0.5,0.6,501,2261.361612,35
41,25,20,1,4,0.7,0.5,501,427.0587906,36.5
42,25,20,1,4,0.7,0.6,501,1200.86112,32
44,25,20,1,4,0.9,0.5,501,367.6985997,34.5
45,25,20,1,4,0.9,0.6,501,711.5483351,28
46,25,20,1,5,0.1,0.4,501,1369.01526,175
47,25,20,1,5,0.1,0.5,501,3477.353629,136
49,25,20,1,5,0.3,0.4,501,1113.330589,102
